video_id,duration,bitrate,bitrate(video),height,width,frame rate,frame rate(est.),codec,category,title,hashtags,views,likes,comments
--F7dc-_FSI,180,5777,5640,1920,1080,25.0,25.0,h264,News & Politics,«السودان ينتفض» أمام السفارة بالقاهرة,"في, عسكري, حكم, حرية, بخصوص, المصري اليوم, السودان, قوات, from, مصر, مكافحة, ديني, حول, Video Journalism, مظاهرت, video, Journalism, in, عنف, ثورة, الأمن, البشير, تعذيب, صحافة, احتجاز, عدل, اعتقال, News, انتفاضة, Egypt, القاهرة, on, ترحيل, الداخلية, فيديو, صحافة فيديو, الشغب, اختفاء, قسري, تغطية, أخبار, سفارة, عن, regarding, الشرطة, من, قبض",4078,41,3
--cCAD-8Y_U,930,1195,1001,1280,720,30.0,30.0,h264,Gaming,Pokemon Tower Defense   Episodio 2,"Pokémon (Anime/Manga Franchise), Pokémon (Video Game Series), Pokémon (TV Program), Tower Defense (Media Genre), Television Program (Award Discipline)",33,2,1
--g2gG8pQ0w,233,3028,2833,1280,720,23.98,23.98,h264,Comedy,New Hip Hop - Kemo Treats - Pancakes,"breaking bad spoof, Recipes, Pancakes, canada, Cook, funny hip hop dance, new, fail, breakfast anthem, toronto, funny music videos 2012, hip hop, funny rap video, funny music videos, 2012, satirical comedy, funny hip hop beat, funny rap battle, funny hip hop songs, Montreal, funny rap songs, cooking, how to make, food, edmonton, funny hip hop tutorial, satirical video, Vancouver, rap, funny rapper, breaking bad, breakfast, satirical songs, funny hip hop skits, #2, kemo treats, recipe",13227,135,17
-0DR7-voRCU,562,431,300,320,240,29.97,0.0,h264,People & Blogs,Sister's Keeper Impression,"natural hair, first impression, sister's keeper products, review, Dip hair and body moisturizer, product review",43,1,0
-0Fkp-2EzX0,300,3087,2929,1280,720,23.98,23.98,h264,Gaming,JBHAMMER777 (AKUMA) VS KtossPol  Rank 1 (Vega) VS ma Chinui (Ryu) SSF4 AE PC,"Tokido, momochi, (Ryu), AE, 11, at, Piyoppia, Street, Kim, akuma, Super, Poongko, (Vega), inbe, Arcade, enough, Fighter, against, JBHAMMER777, cab55sei, and, lorellai, Chinui, eita, Sf4, Matches, kichijyojiken, papatiwawa, fight, ssf4, KtossPol, evo2k10, Rank, hiropon, Shiro, Edition, kyotojin, is, tokido77, ma, 99, VS, ice0age, gouki, k66, he, efllake, Pie, to, Gold, strong, like, infiltration, Strong, uryo",222,2,0
-0J-a-kKR1M,135,467,371,320,240,30.0,0.0,h264,People & Blogs,D'Salapa mirae,"mirae, D'Salapa",168,1,1
-0bc_-HP6dE,43,634,501,480,360,29.97,29.97,h264,Entertainment,VATOz N DA BARRIO,NASTY!!!,138,0,0
-0hjSaYCRnA,4,738,605,540,360,29.97,0.0,h264,Comedy,Shiiiiiiiiiiiit,"shiiiiiiiiiiiiiiit, the, wire",373587,1204,54
-0kAY-vAVBc,228,5880,5686,1920,1080,25.0,25.0,h264,Music,LAURA POTHIN . DANS MES VEINES BY SUNSHINE974PROD,"2013, La reunion, zouk love",1876,0,0
-0lNh-4ZuTE,268,492,364,640,360,25.0,0.0,h264,Education,Boonaa Mohammed - Killing with Love,,50,1,0
-1BgT-6gEs8,92,132,82,192,144,6.0,0.0,h264,Nonprofits & Activis,video-0024.3gp,"video, 0024",3,0,0
-1mDE-k-hc8,231,758,563,1280,720,30.0,30.0,h264,Education,Problem 1 - Statics,Problem 1 - Statics,93,0,0
-1oFA-eI5BQ,33,447,390,320,240,29.97,0.0,h264,Sports,messiah college softball taylor hatt Home Run vs. thiel.wmv,"hits, softball, messiah, taylor, Home, vs, hatt, college, Run, thiel",447,0,0
